account_num,customer_name,account_age,num_accounts
C1231006815,Brennan Hardy,1,2
C1666544295,Sakina Lawrence,1,1
C1305486145,Carmel Hernandez,6,1
C840083671,Lester Hopper,7,1
C2048537720,Faisal Alcock,9,2
C90045638,Nabil Spencer,7,0
C154988899,Rome Palmer,7,0
C1912850431,Sonya Bain,6,1
C1265012928,Dhruv Barr,1,1
C712410124,Arwen Franco,3,1
C1900366749,Andre Swan,0,1
C249177573,Veer Leon,4,0
C1648232591,Liberty Benjamin,3,1
C1716932897,Mikayla Lim,8,1
C1026483832,Noor Firth,6,1
C905080434,Justin Morris,5,1
C761750706,Nimra Melton,4,0
C1237762639,Lewie Coleman,1,1
C2033524545,Raheel Povey,3,2
C1670993182,Jed Kerr,1,2
C20804602,Avaya Mcgowan,2,2
C1566511282,Husnain Vu,7,1
C1959239586,Melissa Redfern,6,0
C504336483,Nazia Mcgill,0,1
C1984094095,Peggy Crouch,6,2
C1043358826,Caleb Beach,6,2
C1671590089,Josiah Turnbull,6,1
C1053967012,Taylan Burt,7,1
C1632497828,Raveena Henderson,4,1
C764826684,Caprice Rahman,2,1
C2103763750,Oluwatobiloba Delacruz,4,2
C215078753,Simeon Love,3,1
C840514538,Zaine Henry,0,0
C1768242710,Reyansh Drake,2,1
C247113419,Oskar Mcphee,8,0
C1238616099,Sunil Cantu,5,0
C1608633989,Milli Flores,1,1
C923341586,Arlene Zamora,1,0
C1470868839,Ryker Huynh,8,2
C711197015,Dalia Farmer,1,1
C1481594086,Ishan Tanner,3,0
C1466917878,Jennie Hester,1,2
C768216420,Lloyd Cleveland,1,1
C260084831,Robson Guevara,9,0
C598357562,Kaan Moreno,8,1
C1440738283,Rajan Oconnor,8,1
C484199463,Emanuel Wills,2,1
C1570470538,Kourtney Wilkins,7,0
C512549200,Millie Kirkland,6,1
C1615801298,Sukhmani Mcdougall,8,0
C460570271,Charleigh Storey,4,2
C2072313080,Neriah Gilmore,6,0
C816944408,Alishba Saunders,8,1
C912966811,Griffin Hatfield,1,0
C1458621573,Curtis Rayner,6,2
C46941357,Jo Mccoy,4,0
C343345308,Arianna Crowther,4,2
C104716441,Lorna Gregory,6,0
C1976401987,Miyah Kemp,6,1
C867288517,Kaylan Donnelly,1,2
C1528834618,Poppie Hall,0,0
C280615803,Niall Hunt,3,1
C166694583,Courteney Fitzpatrick,4,2
C885910946,Daphne Browning,8,1
